violation_id,inspection_id,business_id,violation_description,risk_category
06733066:2024-07-29:0:0,06733066:2024-07-29:0,06733066,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733067:2024-05-06:0:0,06733067:2024-05-06:0,06733067,Provide a floor plan showing the path-of-travel to the refuse storage area.,
06733067:2024-05-06:0:1,06733067:2024-05-06:0,06733067,"All equipment shall be installed on castors, six (6) inch high round metal legs, or on a minimum four (4) inch high curb or pedestal with a continuously coved base at the juncture.",
06733067:2024-05-06:0:10,06733067:2024-05-06:0,06733067,"After use, mops shall be placed in a position that allows them to air-day without soiling walls, equipment, or supplies, e.g. wall-mounted mop rack.",
06733067:2024-05-06:0:2,06733067:2024-05-06:0,06733067,The water supply shall be from a water system approved by the local enforcement agency.,
06733067:2024-05-06:0:3,06733067:2024-05-06:0,06733067,"Adequate and suitable space shall be provided for the storage of food, on approved shelving with a minimum of 6 inch clearance from the floor.",
06733067:2024-05-06:0:4,06733067:2024-05-06:0,06733067,"Wall and ceiling finish shall be smooth, durable, easily cleanable, and non-absorbent in all areas where there is food service or preparation, open food storage, warewashing, janitorial service, trash storage, and employee restrooms.",
06733067:2024-05-06:0:5,06733067:2024-05-06:0,06733067,"Equipment that discharges liquid waste, e.g. food preparation sinks, dishwashing machines, steam tables, ice machines and bins, espresso machines, walk-in refrigeration units, shall have approved indirect drainage through an air gap into a floor sink or other approved receiving vessel.",
06733067:2024-05-06:0:6,06733067:2024-05-06:0,06733067,"A food facility shall at all times be constructed, equipped, and maintained, and operated as to prevent the entrance and harborage of animals, birds, and vermin, including, but not limited to rodents and insects.",
06733067:2024-05-06:0:7,06733067:2024-05-06:0,06733067,"The floor finish shall be smooth, durable, easily cleanable, and non-absorbent in all areas where there is food service or preparation, open food storage, warewashing, janitorial service, trash storage, and employee restrooms.",
06733067:2024-05-06:0:8,06733067:2024-05-06:0,06733067,Floor surfaces shall be coved at the juncture of the floor and wall with a 3/8 inch minimum radius coving and shall extend up the wall at least 4 inches.,
06733067:2024-05-06:0:9,06733067:2024-05-06:0,06733067,"All new and used equipment and utensils shall be certified or classified for sanitation by an American National Standards Institute (ANSI) accredited certification program, e.g. NSF, ETL Sanitation, UL Sanitation, CSA Sanitation.",
06733068:2024-02-14:0:0,06733068:2024-02-14:0,06733068,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",
06733068:2024-02-14:0:1,06733068:2024-02-14:0,06733068,"Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment.",
06733068:2025-02-26:0:0,06733068:2025-02-26:0,06733068,"Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",
06733068:2025-02-26:0:1,06733068:2025-02-26:0,06733068,Keep all food waste and rubbish in leak-proof and rodent-proof containers. Containers shall be covered at all times. All waste must be removed and disposed of as frequently as necessary to prevent a nuisance. The exterior premises of each food facility shall be kept clean and free of litter and rubbish.,
06733068:2025-02-26:0:2,06733068:2025-02-26:0,06733068,Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility.,
06733075:2025-11-20:0:0,06733075:2025-11-20:0,06733075,"Protect the potable water supply with a backflow protection device, as required by applicable plumbing codes. All plumbing, plumbing fixtures, and grease interceptors shall be installed in compliance with local plumbing ordinances, shall be maintained so as to prevent any contamination, and shall be kept clean, fully operative, and in good repair. Any hose used for conveying potable water shall be of approved materials, labeled, properly stored, and used for no other purpose.",
06733075:2025-11-20:0:1,06733075:2025-11-20:0,06733075,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733075:2025-11-20:0:2,06733075:2025-11-20:0,06733075,Maintain nonfood contact surfaces clean. Thoroughly clean and degrease the cooking equipment and shelves above cooking equipment.,
06733075:2025-11-20:0:3,06733075:2025-11-20:0,06733075,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.,  - Food, equipment, or utensils that are found to be unsanitary or in disrepair may be Voluntarily Condemned and Destroyed by the person in charge.",
06733075:2025-11-20:0:4,06733075:2025-11-20:0,06733075,Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature.,
06733075:2025-11-20:0:5,06733075:2025-11-20:0,06733075,"Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment.",
06733075:2025-11-20:0:6,06733075:2025-11-20:0,06733075,Discard all contaminated/adulterated food immediately if it bears or contains any poisonous or deleterious substance that may render it impure or injurious to health.,
06733077:2024-06-27:0:0,06733077:2024-06-27:0,06733077,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733077:2024-06-27:0:1,06733077:2024-06-27:0,06733077,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",
06733077:2024-06-27:0:2,06733077:2024-06-27:0,06733077,"Administer all pesticides through a state licensed pest control operator. Immediately discontinue the use of unapproved pesticide at the food facility. Store all poisonous substances, detergents, bleaches, and cleaning compounds away from food, utensils, packaging materials, and food-contact surfaces. Provide label to working containers of chemicals taken from bulk supplies with the common name of the material. Provide legible manufacturer's label to containers of poisonous or toxic materials and personal care items.",
06733077:2024-06-27:0:3,06733077:2024-06-27:0,06733077,Discard all contaminated/adulterated food immediately if it bears or contains any poisonous or deleterious substance that may render it impure or injurious to health.,
06733077:2024-06-27:0:4,06733077:2024-06-27:0,06733077,"Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.,  - Submit additional documents as instructed.,  - IMMEDIATE HEALTH PERMIT SUSPENSION AND CLOSURE The permit to operate the above named food facility is hereby temporarily suspended, and the facility is ordered immediately closed under the authority of Sections 114405 and 114409 of Division 104, Part 7, Chapter 13, Article 3 of the California Health and Safety Code and/or City and County of San Francisco Health Code §§ 440 (j) and 440.1. The attached Inspection Report specifies the conditions that warrant this closure and the Sections of the law that are being violated. Any food facility for which the permit has been temporarily suspended shall cease all food handling, close and remain closed until all conditions warranting the closure are corrected and your permit has been reinstated by a representative of Environmental Health.   You are hereby notified that you have the right to request a hearing, within 15 calendar days after service of this Notice to show cause why the permit suspension is not warranted. Your failure to request a hearing within 15 calendar days shall be deemed a waiver of your right to a hearing.   An owner, manager or operator who fails to comply with this Closure Notice may be found guilty of a misdemeanor, with a possible fine of $1,000.00 and/or imprisonment for not more than six months for each offense. This Health Permit Suspension and Closure Notice is issued to you under the authority of the California Health and Safety Code, Division 104, Part 7, Chapter 13, Article 3. Copies of the Code Sections referred to herein may be reviewed at most public libraries, the Internet, or at Environmental Health. Contact this office at the number noted above, during normal days of business to request a re-inspection, or if you have any questions. If you are calling after 4:30 pm or on weekends, leave a message at (415) 252-3800 and an inspector/on call staff will call you back at their earliest convenience.   The CLOSED placard was issued and posted this date. The Closure placard shall not be removed, moved, blocked, or obstructed in any manner. The Closure placard shall only be removed by an inspector from this Department.",
06733077:2024-06-27:0:5,06733077:2024-06-27:0,06733077,"Rapidly cool potentially hazardous foods from 135°F to 70°F within 2 hours, then from 70°F to 41°F within 4 hours. Discontinue cooling PHF's at room temperature.  Rapid cool by any of the following approved methods: 1) Ice water bath 2) Ice wand 3) Shallow stainless steel pans filled 2-3 inches and store in refrigerator 4) Separate into smaller or thinner portions and store in refrigerator 5) Blast chiller 6) Any combination of the above. Use the following approved methods provided on the rapid cooling guideline.",
06733077:2024-06-27:0:6,06733077:2024-06-27:0,06733077,"Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.",
06733077:2024-06-28:0:0,06733077:2024-06-28:0,06733077,"Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.",
06733077:2024-06-28:0:1,06733077:2024-06-28:0,06733077,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.,  - Submit additional documents as instructed.",
06733077:2024-08-06:0:0,06733077:2024-08-06:0,06733077,"Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.,  - Submit additional documents as instructed.",
06733077:2024-08-06:0:1,06733077:2024-08-06:0,06733077,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",
06733077:2025-04-24:0:0,06733077:2025-04-24:0,06733077,"Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",
06733077:2025-04-24:0:1,06733077:2025-04-24:0,06733077,"Store wiping cloths used to wipe service counters, scales, or other surfaces that may come into contact with food in clean water with sanitizer or use only once; separate sanitizing containers shall be provided for wiping cloths used with raw animal foods.",
06733077:2025-04-24:0:2,06733077:2025-04-24:0,06733077,"Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment.",
